CODE_DM,Latitude,Longitude
DM-06-05-05-03,13.77523384,100.5238853
DM-06-05-01-02,13.79376169,100.5295194
DM-06-05-01-03,13.79355058,100.5301332
DM-06-04-01-03,13.74905101,100.5313495
DM-06-04-02-01,13.74908428,100.5313568
DM-06-04-02-03,13.74900283,100.531342
DM-06-05-02-01,13.79718039,100.5211782
DM-06-05-01-01,13.79184662,100.5165277
DM-06-05-03-01,13.79025364,100.5153981
DM-06-04-05-01,13.74702992,100.5252478
DM-06-04-05-03,13.74025126,100.5225808
DM-06-05-02-02,13.78462813,100.5112983
DM-06-05-04-01,13.78525063,100.5118333
DM-06-04-05-02,13.73355904,100.5274887
DM-06-04-06-04,13.73117444,100.5332785
DM-06-04-06-01,13.74525595,100.5356249
DM-06-04-06-03,13.73145632,100.5371668
DM-06-06-06-03,13.75039791,100.5410198
DM-06-06-07-03,13.75020827,100.5413021
DM-06-06-07-02,13.74972122,100.5415463
DM-06-06-04-01,13.75803465,100.542606
DM-06-06-03-01,13.76408488,100.5398648
DM-06-06-01-01,13.76517298,100.537413
DM-06-01-03-02,13.74728378,100.4952866
DM-06-01-03-01,13.750702,100.4961932
DM-06-02-03-01,13.7415907,100.5108945
DM-06-02-07-02,13.73761273,100.5142927
DM-06-02-07-03,13.73693722,100.5132272
DM-06-02-07-01,13.73912148,100.5116392
DM-06-02-04-02,13.73928966,100.5117071
DM-06-04-01-02,13.74971313,100.5243286
DM-06-06-08-03,13.74991668,100.5244889
DM-06-04-08-03,13.73011853,100.5454042
DM-06-04-08-02,13.72463772,100.5488625
DM-06-06-05-01,13.75640458,100.5233437
DM-06-06-05-03,13.75625244,100.5238524
DM-06-06-01-03,13.764109,100.5265025
DM-06-06-06-04,13.7533973,100.5321022
DM-06-06-09-01,13.75298271,100.5319803
DM-06-04-07-03,13.73560502,100.5390842
DM-06-04-07-02,13.7350106,100.5459067
DM-06-04-07-01,13.73888037,100.5465996
DM-06-06-09-02,13.7498587,100.540804
DM-06-06-08-02,13.75475439,100.5267233
DM-06-06-09-03,13.75097149,100.525299
DM-06-04-01-01,13.75226683,100.5204686
DM-06-06-08-01,13.756616,100.5174102
DM-06-04-01-04,13.75100116,100.5171023
DM-06-05-10-03,13.77034684,100.5255089
DM-06-06-02-01,13.76924722,100.5289958
DM-06-06-07-01,13.75467053,100.5422487
DM-06-06-06-02,13.7547811,100.5419863
DM-06-03-07-01,13.75160352,100.5085059
DM-06-05-08-01,13.77377793,100.5061852
DM-06-05-06-01,13.78102904,100.5096147
DM-06-05-03-03,13.78349279,100.515282
DM-06-05-03-02,13.77985989,100.5218371
DM-06-05-05-01,13.7892772,100.5277348
DM-12-04-03-01,13.7686504,100.5945218
DM-12-04-02-02,13.78758896,100.6063825
DM-12-04-01-01,13.79624496,100.5909303
DM-12-03-01-01,13.79649242,100.5909598
DM-12-03-01-02,13.7901574,100.602378
DM-12-03-02-02,13.78784424,100.6064469
DM-12-03-04-02,13.78110261,100.6185517
DM-12-03-09-02,13.772321,100.6343257
DM-12-03-10-01,13.77064332,100.637303
DM-12-03-11-01,13.76830391,100.6415007
DM-12-06-05-01,13.76696747,100.6492656
DM-12-06-06-01,13.77791407,100.6636959
DM-12-06-07-02,13.78187369,100.6707931
DM-12-06-07-01,13.78281929,100.6723836
DM-12-06-08-01,13.78633078,100.6759804
DM-12-06-09-01,13.80068615,100.680221
DM-12-07-06-01,13.79523428,100.6906414
DM-12-07-07-01,13.79814387,100.6981462
DM-12-07-07-02,13.78256401,100.6725338
DM-12-06-10-01,13.77765617,100.6638354
DM-12-06-10-02,13.76674603,100.649381
DM-12-04-09-01,13.77039583,100.6371233
DM-12-04-07-02,13.77859919,100.6224731
DM-12-04-06-01,13.7808369,100.6184578
DM-12-04-05-01,13.78529661,100.6104621
DM-12-03-02-01,13.7948149,100.611991
DM-12-04-05-02,13.76281222,100.6080079
DM-12-04-04-01,13.76262464,100.6079811
DM-12-03-06-02,13.78802398,100.6290954
DM-12-05-09-02,13.77349069,100.6462803
DM-12-05-09-01,13.78276459,100.646503
DM-12-05-07-01,13.79412202,100.6516501
DM-12-05-06-02,13.79874558,100.6495553
DM-12-05-05-02,13.80635147,100.6483483
DM-12-05-04-01,13.81572044,100.6524977
DM-12-05-03-01,13.82388575,100.6560087
DM-12-05-10-01,13.83475935,100.6606677
DM-12-05-01-01,13.84177289,100.6561857
DM-12-07-01-02,13.84540849,100.6636986
DM-12-07-02-01,13.84524181,100.6638032
DM-12-07-02-02,13.84977842,100.6675449
DM-12-07-08-01,13.83954879,100.6733787
DM-12-07-04-01,13.83649648,100.6740868
